ACTIVITY_MACRO,ACTOR,IS_PRIORITY,count,prob
Accueil,ACCUEIL.Agent_Acc_1(1),FALSE,13,0.2653061224489796
Accueil,ACCUEIL.Agent_Acc_1(1),TRUE,8,0.42105263157894735
Accueil,ACCUEIL.Agent_Acc_1(2),FALSE,18,0.3673469387755102
Accueil,ACCUEIL.Agent_Acc_1(2),TRUE,2,0.10526315789473684
Accueil,ACCUEIL.Agent_Acc_1(3),FALSE,9,0.1836734693877551
Accueil,ACCUEIL.Agent_Acc_1(3),TRUE,6,0.3157894736842105
Accueil,ACCUEIL.Agent_Acc_1(4),FALSE,9,0.1836734693877551
Accueil,ACCUEIL.Agent_Acc_1(4),TRUE,3,0.15789473684210525
Consultation,URO.AS(1),FALSE,28,0.1958041958041958
Consultation,URO.AS(2),FALSE,29,0.20279720279720279
Consultation,URO.MED(1),FALSE,11,0.07692307692307693
Consultation,URO.MED(2),FALSE,9,0.06293706293706294
Consultation,URO.MED(3),FALSE,19,0.13286713286713286
Consultation,URO.MED(4),FALSE,9,0.06293706293706294
Consultation,URO.MED(5),FALSE,13,0.09090909090909091
Consultation,URO.MED(6),FALSE,18,0.1258741258741259
Consultation,URO.MED(7),FALSE,7,0.04895104895104895
Examen,URO.AS(1),FALSE,14,0.12280701754385964
Examen,URO.AS(2),FALSE,4,0.03508771929824561
Examen,URO.IDE(1),FALSE,42,0.3684210526315789
Examen,URO.IDE(2),FALSE,28,0.24561403508771928
Examen,URO.MED(1),FALSE,6,0.05263157894736842
Examen,URO.MED(2),FALSE,1,0.008771929824561403
Examen,URO.MED(3),FALSE,3,0.02631578947368421
Examen,URO.MED(4),FALSE,2,0.017543859649122806
Examen,URO.MED(5),FALSE,4,0.03508771929824561
Examen,URO.MED(6),FALSE,7,0.06140350877192982
Examen,URO.MED(7),FALSE,3,0.02631578947368421
Sortie,SORTIE_URO.Agent_Sortie(1),FALSE,18,0.8181818181818182
Sortie,SORTIE_URO.Agent_Sortie(2),FALSE,4,0.18181818181818182
